image_name,username,rating,date,review_text
WhatsApp Image 2025-12-08 at 18.15.49_c1ddc2ff.jpg,,4.0,,“UNE + HE aaa tMom 4.0 + 0d walt proaxt “Review for: Color Awesome loeblue « RAM 6 GB - Storage 124 GB Simple ok Raview for: Color Awesome LDec + RAM 8 GB - Storage 128 GB’ Nice mobile good quality camer and profomence Sem — ee © Vetta Peninee :@ pumate gn Belle 10 wee Review for: Color Awerome Lec - RAM 8 GB Storage 256 GB Best [EF phone
WhatsApp Image 2025-12-08 at 18.15.50_15ccb603.jpg,,2.0,,"for. Color Awesome Lec + RAM 8 08 - Siorage 288 G8"" tafled with the Brand New A3S Sabhcpt Gaba, Metta ! csmanestsihancnilaind Review for, Color Aiseoma inshfus - RAM 6 GB - Storage 258 G8 Looks and Fetures are Exillent. Sut'a litte bit Heat Issues while Charging and while using sfter 20/30 minutes. Hope Samsung ‘will solve this after Software updation. 8cz My last Cell phone Is. Galaxy... nore Faptar.., Kayegaeh e Velie’ Pvbese - 9 mane ege MNS 2 rnc Review for: Color Awesome Lec - RAM 8 GB - Storege 128 G8 Love thia phone’ 5 epee a © Vetted Peni : 00s, 2004"
WhatsApp Image 2025-12-08 at 18.15.50_1c2d86dd.jpg,,,,"+: aha MOm Camera ts Awesome Design Is Best in This Sectian “Review for, Color Awesome loablue « RAM 6 GB - Storage 126 GB Product Is best, Love the Camera quellty Heating problem with kettary,tt could be batter if samsung offer ‘BoCOmah over all best phone ih this segment 6 (Vatied Prchene - Danae age Rewtew for. Color Awesome icebiue « RAM 6 G8 » Storege 128 GB Display : The device has amazing diaplay, Software: The one UI Is 90 nice to ues: Battery : ‘the Device heats only.during the initial setup days. After that there fs no haating. The battery backup is d.. more ‘natn... wamgnen Creal Roviewsr . aE: P hano-toraing purchaa Raview for: Color Awasoms iceblue « RAM & GG + Storage 128 GB a"
WhatsApp Image 2025-12-08 at 18.15.51_6aa9493a.jpg,,,,
WhatsApp Image 2025-12-08 at 18.15.51_6f2dae3f.jpg,,,,"~UNE + ahi Ana 'MOm tor. Color Awesome icablue + RAM 6 G8 + Storage 286 GB ellis. 0'- wm reac Review for: Color Awesome iceblive « RAM 8 GB - Storage 128 GB Good product Fiptar.. Trmnged © Vatind Parhee- by, A BRR 40> wom ene Reviow for: Color Awesome icebiue + RAM 8 GB + Storage 178 GB Overall good. 9 eee ia eae"
WhatsApp Image 2025-12-08 at 18.15.52_05fa59ac.jpg,,,,
WhatsApp Image 2025-12-08 at 18.15.52_ae7ef6a0 - Copy.jpg,SRS hae),,,SRS hae)
WhatsApp Image 2025-12-08 at 18.15.52_ae7ef6a0.jpg,SRS hae),,,SRS hae)
WhatsApp Image 2025-12-08 at 18.15.53_e0de8fdb.jpg,eens RYE Meh : 86 get al sift tie Ae ra ncndtit Sati tt dat,,,eens RYE Meh : 86 get al sift tie Ae ra ncndtit Sati tt dat
WhatsApp Image 2025-12-08 at 18.15.54_bd22910c.jpg,,,,
WhatsApp Image 2025-12-08 at 18.15.54_e0a304b7.jpg,,1.0,,"Rohit'Bhartl, Begusaral (Cron) (6) ! O Verified Purchaee:: Jt, 2023 F 1 hint. Mind-blowing purchase Review for. BEE Year 2024 » Capacity 183 L:+ Color Cameilia Blue * Stat Rating'’4- With Base Drawer Yes, Very good produ Thankyou Fiipka And very valuable: Bit tu, Kolkata -f) Helpful for 24, H @ Verified Purctiase - Mar, 2024 BOWGIERE, Greet product Review for. BEE Year 2024- Capacity 183 L-- olor Camelia Purple + Star Rating 42 With Base Drawer Yes Nice product gf = r= Pallavi Tiwari, Chhatarpus (1 Helpful for 1a) i"
WhatsApp Image 2025-12-08 at 18.39.52_233a440b.jpg,,,,
WhatsApp Image 2025-12-08 at 18.39.53_e06b7845.jpg,MIRAGE STEAL ‘ TUNE,,,MIRAGE STEAL ‘ TUNE
WhatsApp Image 2025-12-08 at 18.39.54_bcec220e.jpg,ue,,,ue
WhatsApp Image 2025-12-08 at 18.39.54_db4914c9.jpg,. * att aly LOE reece fared Stes Tle,,,. * att aly LOE reece fared Stes Tle
WhatsApp Image 2025-12-08 at 18.39.55_9b86ef76.jpg,,,,
WhatsApp Image 2025-12-08 at 18.40.02_05803578.jpg,,,,
WhatsApp Image 2025-12-08 at 18.40.03_52fff006.jpg,Ae IN,,,Ae IN
WhatsApp Image 2025-12-08 at 18.40.03_9a02753d.jpg,>,,,>
WhatsApp Image 2025-12-08 at 18.40.03_aee6fcb7.jpg,Ee ieee ay,,,Ee ieee ay
WhatsApp Image 2025-12-08 at 18.40.04_087c7e5d.jpg,au,,,au
WhatsApp Image 2025-12-08 at 18.40.04_d539e653.jpg,,,,
WhatsApp Image 2025-12-08 at 18.40.04_f8542522.jpg,,4.0,,wes roel cATosediondo ed 4 T '
WhatsApp Image 2025-12-08 at 18.40.05_7d01486c.jpg,,,,
WhatsApp Image 2025-12-08 at 18.40.06_8b703aba.jpg,Bata ope fay,,,Bata ope fay
WhatsApp Image 2025-12-08 at 18.40.06_8fba8757.jpg,ein me,,,ein me
WhatsApp Image 2025-12-08 at 18.40.06_de55ce34.jpg,,,,
WhatsApp Image 2025-12-08 at 18.40.07_518bee13.jpg,exer pecsclte,,,exer pecsclte
WhatsApp Image 2025-12-08 at 18.40.07_66b9b6eb.jpg,n SUES,,,n SUES
WhatsApp Image 2025-12-08 at 18.40.07_f2da2d4e.jpg,,,,
WhatsApp Image 2025-12-08 at 18.40.08_74251169.jpg,,,,
WhatsApp Image 2025-12-08 at 18.40.08_abbc9bfd.jpg,bivae ier deg TSMR PR,,,bivae ier deg TSMR PR
WhatsApp Image 2025-12-08 at 18.40.09_4dde8503.jpg,“7,,,“7
WhatsApp Image 2025-12-08 at 18.40.09_9aa56423.jpg,,3.0,,3 3 RTM Tait RTM Tait
WhatsApp Image 2025-12-08 at 18.40.09_aa2c23ea.jpg,Maewliatacss,,,Maewliatacss
WhatsApp Image 2025-12-08 at 18.40.10_66655e8c.jpg,ee,,,ee
WhatsApp Image 2025-12-08 at 18.40.10_f0bd2258.jpg,ga i,,,ga i
WhatsApp Image 2025-12-08 at 18.40.10_f672f6ec.jpg,er Eo segianeny fine,,,er Eo segianeny fine
WhatsApp Image 2025-12-08 at 18.40.11_d0d5505a.jpg,PETER Het ety Tinta,,,PETER Het ety Tinta
WhatsApp Image 2025-12-08 at 18.40.11_d9a80a52.jpg,,,,
WhatsApp Image 2025-12-08 at 18.40.12_9316e2c8.jpg,,,,
WhatsApp Image 2025-12-08 at 18.40.12_9a76590b.jpg,"ERE, ences ARE AAl at",,,"ERE, ences ARE AAl at"
WhatsApp Image 2025-12-08 at 18.40.12_e7703400.jpg,"Rb KOA, ECOSDED ETE Ss",,,"Rb KOA, ECOSDED ETE Ss"
WhatsApp Image 2025-12-08 at 18.40.13_2263a1be.jpg,nT eh,,,nT eh
WhatsApp Image 2025-12-08 at 18.40.13_3dfcd042.jpg,~ es. ean,,,~ es. ean
WhatsApp Image 2025-12-08 at 18.40.13_5b973271.jpg,wayne pes mu preene: Me SACs che nbn erie,,,wayne pes mu preene: Me SACs che nbn erie
WhatsApp Image 2025-12-08 at 18.40.14_01d83c32.jpg,"~+. a ee SBE dint SRS, US",,,"~+. a ee SBE dint SRS, US"
WhatsApp Image 2025-12-08 at 18.40.14_6e73218f.jpg,> Bad ne wm Sabeds seg a a ‘,,,> Bad ne wm Sabeds seg a a ‘
WhatsApp Image 2025-12-08 at 18.40.14_b9e369cc.jpg,— earl dcit rwcar he CDE,,,— earl dcit rwcar he CDE
WhatsApp Image 2025-12-08 at 18.40.15_4a0034ed.jpg,aiererer isl SOTTO : if Seo ey a bhai me shed cis,,,aiererer isl SOTTO : if Seo ey a bhai me shed cis
WhatsApp Image 2025-12-08 at 18.40.15_73da1f4a.jpg,,,,
WhatsApp Image 2025-12-08 at 18.40.15_e8df921e.jpg,nn bo eh cari) wy,,,nn bo eh cari) wy
WhatsApp Image 2025-12-08 at 18.40.16_4b04659e.jpg,,1.0,,: ete ye x o 7 a 0 . ‘ 1 : rt SBE dint
WhatsApp Image 2025-12-08 at 18.40.16_dbcfc946.jpg,"} , : Ronimnanitiy on a bahar Sher a",,,"} , : Ronimnanitiy on a bahar Sher a"
WhatsApp Image 2025-12-08 at 18.40.16_ed628868.jpg,o iN wy ‘ at,,,o iN wy ‘ at
WhatsApp Image 2025-12-08 at 18.40.17_4f21a299.jpg,"‘ S Rte SOAR, ECOSDED TES ars t ve” DETREI",,,"‘ S Rte SOAR, ECOSDED TES ars t ve” DETREI"
WhatsApp Image 2025-12-08 at 18.40.17_9e92b4da.jpg,\ Sra EEE.,,,\ Sra EEE.
WhatsApp Image 2025-12-08 at 18.40.17_b79e0bdc.jpg,e a,,,e a
WhatsApp Image 2025-12-08 at 18.40.18_335288db.jpg,"7 : N Rte SOAR, ECOSDED TES",,,"7 : N Rte SOAR, ECOSDED TES"
WhatsApp Image 2025-12-08 at 18.40.18_49b03dae.jpg,,,,
WhatsApp Image 2025-12-08 at 18.40.18_a9296205.jpg,"a hod ’ TS SBE dint me + —— im fn, EERE",,,"a hod ’ TS SBE dint me + —— im fn, EERE"
WhatsApp Image 2025-12-08 at 18.40.19_66730515.jpg,STE EEE OBE,,,STE EEE OBE
WhatsApp Image 2025-12-08 at 18.40.19_aeeefebb.jpg,COTE.,,,COTE.
WhatsApp Image 2025-12-08 at 18.40.20_8584b407.jpg,noe GPa i ass: WHR A Oon,,,noe GPa i ass: WHR A Oon
WhatsApp Image 2025-12-08 at 18.40.20_b12851d0.jpg,,,,
WhatsApp Image 2025-12-08 at 18.40.21_2957522f.jpg,woe Gat ass: WHR AM Oon,,,woe Gat ass: WHR AM Oon
WhatsApp Image 2025-12-08 at 18.40.21_56a1dd45.jpg,g ee ps . x ST Teen tS SE nee i RELATE,,,g ee ps . x ST Teen tS SE nee i RELATE
WhatsApp Image 2025-12-08 at 18.40.21_789b0f56.jpg,noe Dn iass- ARAM On > Plan a in the teen f cere rsturen as,,,noe Dn iass- ARAM On > Plan a in the teen f cere rsturen as
WhatsApp Image 2025-12-08 at 18.40.22_45b9a842.jpg,meyer debe Pao SVE Se a,,,meyer debe Pao SVE Se a
WhatsApp Image 2025-12-08 at 18.40.22_db7a879e.jpg,,2.0,,"6 97 ® eens Peo ae a : soe SS SS SVVOUE TET ET KKEKK ekOOCO oa F 8 econ neteen op i wo 06 & F @ Oar = ‘We are Kener ncge 2 coisa o 97 8 cy ‘ere Deby moby Chat acter puyyu Iniond loverny ooh RUN OR Ope QALY lel pire, Sn rumen Ree PE IMETTY Mate Bee, te mand out eak... Mend REN CUnINCHADAEE pole OA, oS F @ Ore Rage net monn nen Vaseneg een oP Une. mana manson Dernarpararn 90 Oo CONE 6& 97 @ ae Aida comment"
WhatsApp Image 2025-12-08 at 18.49.54_0a484214.jpg,rt SBE dint,,,rt SBE dint
WhatsApp Image 2025-12-08 at 19.41.04_0ee7f8fc.jpg,Urs,,,Urs
WhatsApp Image 2025-12-08 at 19.41.05_5ed2b2ff.jpg,woo @Dapias: AR Oem < ieeheras re erestiere sik oulid POM STEM SEE a viet,,,woo @Dapias: AR Oem < ieeheras re erestiere sik oulid POM STEM SEE a viet
WhatsApp Image 2025-12-08 at 19.41.05_99053ff9.jpg,,,,
WhatsApp Image 2025-12-08 at 19.41.05_b5adac52.jpg,,,,r ion aed wee ar 268 seem
WhatsApp Image 2025-12-08 at 19.41.05_b8f85e9e.jpg,,,,
WhatsApp Image 2025-12-08 at 19.41.06_7061e345.jpg,BHR UOEY,,,BHR UOEY
WhatsApp Image 2025-12-08 at 19.41.06_7cf027d9.jpg,RHA UOEY,,,RHA UOEY
WhatsApp Image 2025-12-08 at 19.41.06_f0009f81.jpg,RHR SU OEY & cab oh hi od,,,RHR SU OEY & cab oh hi od
WhatsApp Image 2025-12-08 at 19.41.07_48a15a2e.jpg,RHR UOGY,,,RHR UOGY
WhatsApp Image 2025-12-08 at 19.41.07_5b3d843f.jpg,wor @Daait os: RHR OE,,,wor @Daait os: RHR OE
WhatsApp Image 2025-12-08 at 19.41.07_f6542cbf.jpg,RHR UOGY,,,RHR UOGY
WhatsApp Image 2025-12-08 at 19.41.08_2fc50a05.jpg,weit TBS: RHR SUOEY,,,weit TBS: RHR SUOEY
WhatsApp Image 2025-12-08 at 19.41.08_391d0fa3.jpg,wBe-,,,wBe-
WhatsApp Image 2025-12-08 at 19.41.08_5799b855.jpg,wBe-,,,wBe-
WhatsApp Image 2025-12-08 at 19.41.08_57ad1183.jpg,weit TBS: RHR SUOEY,,,weit TBS: RHR SUOEY
WhatsApp Image 2025-12-08 at 19.41.08_7ef497a8.jpg,weit TBS: RHR SUOEY,,,weit TBS: RHR SUOEY
WhatsApp Image 2025-12-08 at 19.41.08_b7700b92.jpg,RHR SUOEY,,,RHR SUOEY
WhatsApp Image 2025-12-08 at 19.41.09_152a3601.jpg,wot @Doat os: BAWE MOE.,,,wot @Doat os: BAWE MOE.
WhatsApp Image 2025-12-08 at 19.41.09_da59fbb0.jpg,ae Oo.,,,ae Oo.
WhatsApp Image 2025-12-08 at 19.41.10_629f256a.jpg,ana Bra a,,,ana Bra a
WhatsApp Image 2025-12-08 at 19.41.10_8e80350d.jpg,ae Oo.,,,ae Oo.
WhatsApp Image 2025-12-08 at 19.41.10_f40e53a3.jpg,,,,oe @Dapiae: 2a Sd Oon i i ae bso)
WhatsApp Image 2025-12-08 at 19.41.11_335d853c.jpg,cote vneretnc ae ; a ] i,,,cote vneretnc ae ; a ] i
WhatsApp Image 2025-12-08 at 19.41.11_8caf4299.jpg,wes @Daer oe: ARE MOES,,,wes @Daer oe: ARE MOES
WhatsApp Image 2025-12-08 at 19.41.11_ad6c84d0.jpg,wcs @Doar oe: BAA MOE [hn ae,,,wcs @Doar oe: BAA MOE [hn ae
WhatsApp Image 2025-12-08 at 19.41.12_375d9756.jpg,ARR MOS,,,ARR MOS
WhatsApp Image 2025-12-08 at 19.41.12_6def9fb3.jpg,won @Dwait ne: ARR ‘Oe 08 eee Piao,,,won @Dwait ne: ARR ‘Oe 08 eee Piao
WhatsApp Image 2025-12-08 at 19.41.12_6ffaa407.jpg,we @Daapas- WHR SOs vist D Se EEE,,,we @Daapas- WHR SOs vist D Se EEE
WhatsApp Image 2025-12-08 at 19.41.13_62d6242e.jpg,- @crears- WH Ad ore,,,- @crears- WH Ad ore
WhatsApp Image 2025-12-08 at 19.41.13_86d57a52.jpg,"Qy foa EE BOR EES, EAL a REA",,,"Qy foa EE BOR EES, EAL a REA"
WhatsApp Image 2025-12-08 at 19.41.14_2d6ea1d6.jpg,,1.0,,1 @Dreais: WR Ad ore
WhatsApp Image 2025-12-08 at 19.41.14_377ca5b3.jpg,cs @Doar as: BARROS,,,cs @Doar as: BARROS
WhatsApp Image 2025-12-08 at 19.41.14_fb75a43f.jpg,wor @Doaias- ARE WOE deat Co peas bneys,,,wor @Doaias- ARE WOE deat Co peas bneys
WhatsApp Image 2025-12-08 at 19.41.15_0f40ae7d.jpg,ARE UOE® won @ar ns: Her dite,,,ARE UOE® won @ar ns: Her dite
WhatsApp Image 2025-12-08 at 19.41.15_2f95a53e.jpg,wc @Daanes: BR Oem oo. ESP ES,,,wc @Daanes: BR Oem oo. ESP ES
WhatsApp Image 2025-12-08 at 19.41.15_546c038a.jpg,AHA UOEY,,,AHA UOEY
WhatsApp Image 2025-12-08 at 19.41.16_02abe5ef.jpg,,3.0,,eos @enrae- Leroy oe. bh’ a aa Prasat 3 ae)
WhatsApp Image 2025-12-08 at 19.41.16_f090cde6.jpg,WAR Or,,,WAR Or
WhatsApp Image 2025-12-08 at 19.41.17_78d4b2fd.jpg,won @Dwait ne: ARR ‘Oe,,,won @Dwait ne: ARR ‘Oe
WhatsApp Image 2025-12-08 at 19.41.17_8e160a7d.jpg,RHA UOEY,,,RHA UOEY
WhatsApp Image 2025-12-08 at 19.41.17_de3598bc.jpg,RHA UOEY,,,RHA UOEY
WhatsApp Image 2025-12-08 at 19.41.18_28a09f47.jpg,RHR UOGY,,,RHR UOGY
WhatsApp Image 2025-12-08 at 19.41.18_d35b8437.jpg,,3.0,,3 Pa TRE
